Love_Arranged  Age   Gender  Education      Occupation     Salary    Indian_state   Conflict_per_year 
Love           28    Female  Post Graduate  GovtJob        1275099   Gujarat        22                
Arranged       23    Male    Graduate       PrivateJob     2374121   Karnataka      19                
Love           31    Male    10th           Doctor         222757    UP             22                
Arranged       30    Female  Post Graduate  GovtJob        2652580   TamilNadu      12                
Arranged       24    Male    10th           GovtJob        421817    Telangana      19                
Love           26    Male    PhD            Engineer       681212    Rajasthan      1                 
Arranged       28    Female  12th           GovtJob        399989    TamilNadu      22                
Love           29    Female  PhD            Doctor         2105213   Punjab         11                
Love           26    Female  Post Graduate  Teacher        2854106   TamilNadu      20                
Love           35    Male    10th           Business       2753147   Punjab         8                 
Arranged       22    Female  Graduate       PrivateJob     919083    TamilNadu      0                 
Arranged       38    Male    Graduate       Teacher        2004408   TamilNadu      11                
Love           35    Female  12th           Engineer       2355193   Delhi          8                 
Arranged       25    Male    Graduate       Doctor         2513421   Maharashtra    1                 
Love           28    Male    10th           Teacher        1394386   UP             10                
Love           21    Female  Graduate       Doctor         1404915   Gujarat        16                
Love           31    Male    12th           GovtJob        2670115   Karnataka      10                
Love           25    Female  Graduate       Doctor         1329351   Rajasthan      16                
Arranged       25    Female  Post Graduate  Business       1953155   Rajasthan      17                
Arranged       23    Female  12th           Doctor         2946281   Maharashtra    15                
Love           30    Female  PhD            Doctor         2657974   TamilNadu      0                 
Love           36    Male    12th           Teacher        1206668   WB             2                 
Arranged       27    Female  Graduate       Business       751953    TamilNadu      16                
Arranged       33    Female  12th           Doctor         2613418   Gujarat        20                
Arranged       28    Female  10th           Doctor         1354493   UP             21                
Arranged       23    Male    PhD            Doctor         1072611   WB             7                 
Love           33    Male    PhD            Business       206394    Telangana      2                 
Arranged       31    Female  Graduate       GovtJob        316653    UP             17                
Arranged       31    Male    10th           Engineer       2794570   Rajasthan      21                
Arranged       34    Male    PhD            PrivateJob     967716    Telangana      1                 
Arranged       36    Male    PhD            GovtJob        1896870   Gujarat        4                 
Arranged       26    Male    Graduate       Engineer       2077220   Delhi          24                
Arranged       34    Male    Post Graduate  GovtJob        1168998   Punjab         13                
Love           25    Male    Post Graduate  GovtJob        2242455   Gujarat        24                
Arranged       22    Female  Post Graduate  Business       589411    Delhi          6                 
Arranged       32    Female  12th           Doctor         1170302   UP             8                 
Love           34    Male    12th           Business       2899902   Karnataka      5                 
Love           22    Female  Post Graduate  PrivateJob     264013    Telangana      18                
Arranged       25    Female  PhD            Doctor         968075    TamilNadu      23                
Love           24    Male    10th           Engineer       1373031   Delhi          1                 
Love           36    Female  Post Graduate  Business       1561197   WB             17                
Arranged       25    Female  Graduate       PrivateJob     954001    TamilNadu      18                
Arranged       26    Male    Graduate       Business       429192    Gujarat        17                
Arranged       29    Male    Post Graduate  GovtJob        2461407   Gujarat        5                 
Love           21    Male    10th           PrivateJob     1847996   UP             20                
Love           21    Male    12th           Business       381354    Maharashtra    6                 
Arranged       35    Male    PhD            PrivateJob     1621383   Gujarat        21                
Arranged       27    Female  12th           Business       2997277   Karnataka      13                
Love           29    Female  10th           GovtJob        1021098   Maharashtra    4                 
Arranged       31    Male    10th           GovtJob        1769501   Rajasthan      24                
Love           23    Female  12th           Business       2604830   Punjab         11                
Love           32    Female  Graduate       GovtJob        654092    Telangana      0                 
Love           32    Male    10th           Engineer       214355    TamilNadu      18                
Love           38    Female  Post Graduate  GovtJob        1352261   Karnataka      21                
Arranged       31    Male    12th           GovtJob        978869    Gujarat        13                
Arranged       38    Male    Post Graduate  Teacher        2010231   UP             2                 
Love           34    Male    10th           Engineer       659946    Telangana      19                
Love           35    Male    Graduate       Engineer       2134095   Delhi          16                
Arranged       25    Male    12th           Teacher        1986685   WB             14                
Love           30    Male    12th           GovtJob        689910    WB             19                
Arranged       27    Male    12th           PrivateJob     2580245   Telangana      2                 
Arranged       36    Male    Graduate       GovtJob        989354    TamilNadu      22                
Arranged       21    Female  10th           Teacher        1986568   WB             12                
Arranged       34    Female  10th           PrivateJob     1394729   Karnataka      6                 
Love           21    Female  Post Graduate  Business       2986488   Punjab         25                
Love           24    Male    Post Graduate  Teacher        2939713   Delhi          5                 
Love           38    Female  Graduate       Business       2037078   Punjab         13                
Arranged       34    Male    Graduate       Doctor         2503065   UP             18                
Love           23    Male    Graduate       PrivateJob     252864    Delhi          21                
Love           36    Female  Post Graduate  Teacher        976881    Delhi          24                
Love           25    Male    10th           Business       254747    Rajasthan      9                 
Love           22    Male    Graduate       Business       2561129   Maharashtra    4                 
Arranged       25    Female  Graduate       Teacher        896421    TamilNadu      25                
Love           28    Female  Graduate       Business       2629121   TamilNadu      7                 
Arranged       32    Female  10th           Teacher        1191755   Gujarat        17                
Love           24    Male    Graduate       GovtJob        2213689   Gujarat        17                
Arranged       34    Male    Graduate       Business       2396053   Punjab         0                 
Love           36    Female  Graduate       Engineer       2013442   Maharashtra    24                
Love           32    Female  10th           Doctor         2355613   UP             23                
Love           22    Male    Post Graduate  Engineer       1633918   Delhi          18                
Love           37    Male    10th           Doctor         2455799   Rajasthan      25                
Arranged       24    Female  PhD            PrivateJob     2196208   Punjab         22                
Love           38    Female  PhD            Business       2772101   WB             8                 
Love           25    Male    12th           Doctor         1778287   WB             8                 
Love           27    Male    Post Graduate  Teacher        2855664   WB             23                
Love           34    Female  10th           Teacher        1856408   Rajasthan      2                 
Arranged       30    Male    12th           Teacher        407739    Telangana      4                 
Love           28    Female  PhD            Teacher        1371490   WB             20                
Love           35    Female  10th           GovtJob        1254702   Punjab         10                
Love           38    Male    12th           GovtJob        1621285   Maharashtra    3                 
Love           38    Male    Graduate       Teacher        490904    WB             19                
Love           30    Female  10th           PrivateJob     2769502   Gujarat        24                
Love           22    Female  PhD            Doctor         1919782   Punjab         21                
Love           27    Male    PhD            Business       724420    Delhi          24                
Arranged       21    Female  10th           Doctor         2801300   UP             9                 
Arranged       37    Male    10th           GovtJob        2299471   Karnataka      20                
Love           32    Male    PhD            Doctor         2961292   Karnataka      2                 
Love           31    Female  12th           GovtJob        1386209   Maharashtra    18                
Arranged       31    Female  PhD            Doctor         547171    TamilNadu      19                
Love           36    Male    12th           PrivateJob     633925    Karnataka      13                
Arranged       34    Female  Post Graduate  PrivateJob     1337069   Delhi          11                
Arranged       36    Male    Post Graduate  GovtJob        2680213   WB             8                 
Love           27    Male    10th           Business       2389024   WB             23                
Love           27    Male    Graduate       GovtJob        1450182   Rajasthan      20                
Arranged       38    Female  Graduate       PrivateJob     1819399   Punjab         24                
Love           24    Male    Post Graduate  GovtJob        557899    TamilNadu      19                
Love           27    Male    Post Graduate  Business       387036    Rajasthan      9                 
